,listPrice,sqft,stories,beds,baths,baths_full,baths_full_calc,garage,year_built,house_age,baths_per_bedroom,type_condo_townhome_rowhome_coop,type_condos,type_multi_family,type_single_family,type_townhomes
210,449639.0,2488.0,2.0,5.0,3.0,3.0,3.0,2.0,2026.0,0.0,0.6,0,0,0,1,0
211,1036855.0,4300.0,2.0,5.0,5.0,4.0,4.0,2.0,2023.0,3.0,1.0,0,0,0,1,0
212,250000.0,1634.0,1.0,3.0,2.0,2.0,2.0,2.0,2024.0,2.0,0.6666666666666666,0,0,0,1,0
214,524840.0,2718.0,1.0,4.0,3.0,3.0,3.0,3.0,2023.0,3.0,0.75,0,0,0,1,0
215,599500.0,3220.0,1.0,4.0,3.0,3.0,3.0,3.0,2025.0,1.0,0.75,0,0,0,1,0
216,290675.0,2198.0,2.0,4.0,3.0,2.0,2.0,2.0,2025.0,1.0,0.75,0,0,0,1,0
217,429999.0,2769.0,2.0,5.0,3.0,3.0,3.0,2.0,2022.0,4.0,0.6,0,0,0,1,0
218,334000.0,1645.0,1.0,3.0,2.0,2.0,2.0,2.0,2026.0,0.0,0.6666666666666666,0,0,0,1,0
219,599000.0,3407.0,2.0,4.0,4.0,3.0,3.0,3.0,2022.0,4.0,1.0,0,0,0,1,0
220,312555.0,2076.0,2.0,4.0,3.0,2.0,2.0,2.0,2023.0,3.0,0.75,0,0,0,1,0
221,389879.0,1582.0,1.0,3.0,2.0,2.0,2.0,2.0,2026.0,0.0,0.6666666666666666,0,0,0,1,0
222,616337.0,2380.0,1.0,4.0,3.0,3.0,3.0,3.0,2025.0,1.0,0.75,0,0,0,1,0
223,335000.0,2395.0,2.0,4.0,3.0,3.0,3.0,2.0,2022.0,4.0,0.75,0,0,0,1,0
224,330000.0,940.0,1.0,3.0,1.0,1.0,1.0,2.0,2012.0,14.0,0.3333333333333333,0,0,0,1,0
225,605000.0,1512.0,1.0,3.0,2.0,2.0,2.0,2.0,1998.0,28.0,0.6666666666666666,0,0,0,1,0
226,295000.0,2192.0,1.0,4.0,2.0,2.0,2.0,2.0,2017.0,9.0,0.5,0,0,0,1,0
227,410000.0,1914.0,2.0,3.0,3.0,2.0,2.0,2.0,2022.0,4.0,1.0,0,0,0,1,0
228,559990.0,2470.0,1.0,4.0,4.0,3.0,3.0,2.0,2023.0,3.0,1.0,0,0,0,1,0
229,264590.0,1573.0,1.0,3.0,2.0,2.0,2.0,2.0,2023.0,3.0,0.6666666666666666,0,0,0,1,0
230,495200.0,1620.0,1.0,3.0,2.0,2.0,2.0,2.0,2023.0,3.0,0.6666666666666666,0,0,0,1,0
231,365900.0,2666.0,2.0,5.0,3.0,3.0,3.0,2.0,2021.0,5.0,0.6,0,0,0,1,0
232,277900.0,1654.0,1.0,4.0,2.0,2.0,2.0,2.0,2023.0,3.0,0.5,0,0,0,1,0
233,219999.0,1600.0,1.0,4.0,2.0,2.0,2.0,2.0,2024.0,2.0,0.5,0,0,0,1,0
234,849990.0,2941.0,1.0,4.0,3.0,3.0,3.0,3.0,2025.0,1.0,0.75,0,0,0,1,0
235,341000.0,2732.0,2.0,3.0,3.0,2.0,2.0,2.0,1978.0,48.0,1.0,0,0,0,1,0
236,597000.0,2826.0,1.0,3.0,3.0,2.0,2.0,4.0,2020.0,6.0,1.0,0,0,0,1,0
237,290000.0,1120.0,1.0,3.0,2.0,2.0,2.0,2.0,1983.0,43.0,0.6666666666666666,0,0,0,1,0
238,338900.0,2064.0,2.0,4.0,3.0,2.0,2.0,2.0,2026.0,0.0,0.75,0,0,0,1,0
239,924000.0,4200.0,2.0,4.0,5.0,4.0,4.0,3.0,2022.0,4.0,1.25,0,0,0,1,0
240,343490.0,2540.0,2.0,4.0,3.0,3.0,3.0,2.0,2026.0,0.0,0.75,0,0,0,1,0
241,899000.0,3030.0,2.0,3.0,4.0,3.0,3.0,2.0,2005.0,21.0,1.3333333333333333,0,0,0,1,0
242,263650.0,1368.0,1.0,3.0,2.0,2.0,2.0,2.0,2026.0,0.0,0.6666666666666666,0,0,0,1,0
